case_type,pending_days,evidence_pages,witness_count,priority_level,judge_load,delay_risk
Tax,2622,4380,23,Critical,14,0
Family,1520,2838,41,Medium,15,0
Family,1254,882,29,Critical,115,0
Civil,2617,4547,41,Low,71,0
Family,2052,4075,36,High,19,0
Property,2471,1239,5,Low,79,0
Tax,862,3815,39,Critical,19,0
Family,626,4624,26,High,115,0
Civil,2470,4562,39,High,94,0
Property,729,547,11,Low,53,0
Criminal,1676,2942,42,Critical,65,0
Tax,2048,3224,11,Low,13,0
Family,470,1182,18,Critical,22,0
Civil,1890,4784,12,Critical,83,0
Criminal,1670,3584,16,Medium,89,0
Criminal,1559,866,27,High,28,0
Corporate,2995,2137,36,Critical,79,0
Property,2397,3106,17,Low,99,0
Family,2630,1790,49,Low,71,0
Civil,1124,3303,21,Medium,18,0
Corporate,597,1845,37,Medium,55,0
Property,2996,3343,31,Medium,65,0
Corporate,265,465,45,High,83,0
Tax,1334,1045,35,Medium,49,0
Property,1215,1791,27,High,76,0
Property,1062,1379,23,Medium,92,0
Family,2137,38,32,High,71,0
Property,2970,580,17,Critical,108,0
Corporate,1870,491,11,Medium,55,0
Property,254,47,1,High,15,0
Family,1872,579,28,Critical,38,0
Family,2777,2675,18,Medium,28,0
Tax,611,3256,49,Critical,117,0
Corporate,198,4573,41,Medium,24,0
Criminal,1495,964,20,Low,66,0
Criminal,43,3968,7,High,47,0
Property,2241,3676,37,Low,30,0
Tax,1473,4983,16,High,117,0
Civil,2834,3083,39,Low,60,0
Property,1900,1999,45,Medium,48,0
Tax,1573,2736,45,Low,96,0
Corporate,1719,4941,47,Medium,29,0
Corporate,1601,835,23,High,115,0
Corporate,1081,2346,32,Medium,11,0
Corporate,1761,2350,49,Low,118,0
Corporate,475,1022,17,Critical,41,0
Tax,745,1562,19,High,101,0
Tax,848,4224,42,Critical,13,0
Family,2181,1249,34,Critical,16,0
Criminal,2819,3325,14,Critical,12,0
Corporate,455,2549,3,Critical,34,0
Civil,1154,1450,39,Critical,18,0
Tax,1594,3932,25,Low,96,0
Civil,2716,1552,11,Medium,96,0
Civil,879,1912,49,Medium,35,0
Civil,1575,3144,15,Critical,113,0
Family,1159,1441,19,Low,73,0
Tax,1732,410,43,Critical,27,0
Civil,2031,2838,15,Critical,97,0
Corporate,2846,1889,15,High,100,0
Property,306,2980,38,Low,118,0
Civil,1836,1215,15,Critical,11,0
Family,2977,2625,9,Medium,10,0
Tax,2265,877,5,High,57,0
Family,1969,3247,19,Critical,89,0
Civil,2182,1536,24,Critical,72,0
Tax,575,1173,29,Critical,116,0
Property,2457,862,5,Low,97,0
Civil,139,1702,22,Critical,45,0
Family,574,314,13,Medium,72,0
Criminal,2431,664,49,High,84,0
Corporate,772,3653,47,Low,35,0
Family,2394,2155,46,High,15,0
Tax,1319,130,29,Medium,35,0
Civil,1905,603,16,Critical,102,0
Corporate,1118,3245,36,Low,52,0
Civil,362,1506,17,Critical,10,0
Tax,1566,4884,20,Low,18,0
Civil,1186,1668,14,Critical,36,0
Criminal,621,2401,6,Medium,80,0
Corporate,812,125,22,Medium,12,0
Corporate,569,3573,40,Critical,70,0
Tax,2812,1714,9,Medium,82,0
Criminal,1588,1753,32,Critical,11,0
Family,1549,401,24,Low,83,0
Civil,2698,2756,33,Medium,90,0
Property,648,4376,13,Low,40,0
Civil,2986,1336,35,Critical,74,0
Civil,1863,2722,6,Low,27,0
Family,1021,4935,49,High,15,0
Civil,2176,4094,40,Critical,111,0
Criminal,2394,4824,30,Medium,114,0
Criminal,2200,926,38,Medium,51,0
Corporate,2876,682,16,High,77,0
Tax,1646,482,1,Critical,113,0
Property,1548,2922,42,Critical,13,0
Civil,2534,4700,18,Critical,108,0
Civil,551,962,22,Critical,13,0
Family,2597,177,26,Low,74,0
Tax,946,3329,14,Critical,50,0
Criminal,746,1346,37,Low,52,0
Property,2392,2737,49,Low,104,0
Corporate,2786,2688,14,Medium,64,0
Criminal,2787,2588,26,Critical,28,0
Tax,1966,3412,36,Low,30,0
Corporate,589,2126,23,Critical,67,0
Family,998,4819,2,High,39,0
Family,2433,667,39,Low,16,0
Civil,1107,3342,7,Medium,78,0
Tax,919,2958,39,Critical,73,0
Property,822,2503,45,Medium,11,0
Corporate,2342,4261,22,Low,76,0
Criminal,1011,2926,28,Low,88,0
Tax,831,3045,38,Medium,112,0
Tax,72,1395,20,Critical,110,0
Family,1639,1843,49,Low,83,0
Civil,2939,264,18,High,18,0
Civil,1807,2368,24,Medium,32,0
Corporate,379,887,33,Low,23,0
Family,1597,2881,45,Critical,63,0
Tax,1159,499,26,Low,54,0
Property,2989,2482,19,Critical,106,0
Family,2078,1955,48,Critical,25,0
Corporate,1810,3393,42,Low,93,0
Corporate,613,3041,13,High,81,0
Family,461,3212,10,Critical,111,0
Corporate,1962,107,14,Medium,107,0
Family,2130,1260,9,Critical,104,0
Criminal,2597,592,11,Critical,118,0
Family,1378,833,3,High,66,0
Family,2224,198,40,Critical,17,0
Corporate,2060,1745,12,Low,34,0
Corporate,1219,182,35,High,50,0
Civil,1192,2660,39,Critical,71,0
Civil,2706,1025,46,Low,86,0
Criminal,328,2368,39,Low,27,0
Civil,1969,2441,32,Critical,59,0
Family,818,2775,39,Medium,50,0
Corporate,879,4318,14,Medium,43,0
Civil,2255,4162,44,Critical,109,0
Civil,2919,4578,1,Critical,90,0
Criminal,1407,3761,27,Low,21,0
Tax,1207,4523,37,Critical,89,0
Criminal,1979,1237,43,Critical,86,0
Family,907,2494,1,Low,84,0
Corporate,1168,949,45,Critical,87,0
Criminal,1607,336,29,Critical,51,0
Civil,2836,1522,24,Critical,64,0
Corporate,2522,440,17,Low,101,0
Corporate,2785,4378,35,Critical,68,0
Civil,2679,1469,31,Medium,60,0
Criminal,1676,447,42,Critical,97,0
Civil,1933,416,32,Medium,62,0
Tax,1412,815,19,Critical,90,0
Corporate,174,126,31,Low,18,0
Property,2352,4069,39,Medium,119,0
Property,2586,117,20,Critical,103,0
Family,1232,1923,28,Critical,110,0
Civil,2830,3590,3,Critical,12,0
Civil,1891,3321,32,Critical,17,0
Family,1884,62,22,Low,91,0
Family,2554,1597,44,High,68,0
Family,1896,4210,42,Medium,39,0
Corporate,1128,4303,44,Critical,76,0
Tax,1181,404,15,Low,64,0
Civil,1764,4934,38,High,43,0
Corporate,2743,3491,19,Low,52,0
Family,597,3597,31,Critical,37,0
Civil,1843,3258,26,High,46,0
Corporate,560,1716,5,Medium,98,0
Tax,2236,2154,20,Medium,39,0
Corporate,1591,3912,2,Low,80,0
Tax,710,2556,21,Medium,71,0
Family,2100,4341,36,Medium,119,0
Tax,1100,2412,28,High,38,0
Civil,2602,4633,20,Medium,11,0
Family,758,3835,37,High,99,0
Civil,1759,315,39,High,114,0
Property,2221,433,36,High,66,0
Criminal,697,2015,11,Medium,66,0
Tax,1642,23,3,Low,51,0
Criminal,710,197,37,Low,58,0
Criminal,1002,765,20,Medium,66,0
Tax,2876,4374,32,High,80,0
Family,2162,671,47,Medium,27,0
Property,2493,3909,25,Critical,79,0
Civil,2771,3291,21,Low,114,0
Corporate,2559,2502,16,High,113,0
Civil,2533,309,48,Medium,36,0
Corporate,856,822,42,High,63,0
Civil,326,2550,1,Critical,114,0
Tax,1283,253,23,High,33,0
Property,2757,427,43,Critical,106,0
Corporate,2455,713,49,Low,104,0
Family,2498,1189,24,High,43,0
Civil,2182,4677,47,Medium,31,0
Civil,1758,2497,25,High,97,0
Corporate,2054,451,7,High,72,0
Family,359,2564,38,Critical,45,0
Family,2516,1002,47,Critical,101,0
Tax,1185,3180,47,Medium,93,0
Tax,1920,3064,39,Low,70,0
Tax,411,3944,35,Low,91,0
Tax,2215,3332,14,Critical,51,0
Tax,872,4893,9,Medium,105,0
Tax,2347,4338,3,High,42,0
Property,425,1708,38,Medium,83,0
Family,2990,487,20,Medium,18,0
Tax,2541,2636,41,Medium,34,0
Family,479,1365,33,Low,22,0
Family,1384,2442,41,High,56,0
Criminal,2016,4527,44,Medium,54,0
Property,1338,4741,32,Low,14,0
Tax,1327,1031,36,Low,40,0
Civil,2097,1697,26,Critical,40,0
Corporate,2316,3717,48,High,107,0
Civil,1323,4917,5,Medium,99,0
Property,2495,4086,49,High,80,0
Corporate,1879,1912,30,Critical,50,0
Property,215,2889,17,Critical,55,0
Family,1263,4370,6,Medium,61,0
Corporate,1467,1506,15,Low,93,0
Family,282,3359,1,Critical,116,0
Civil,48,1436,13,Low,95,0
Civil,2789,4877,48,Critical,14,0
Corporate,1189,2866,34,High,21,0
Corporate,252,1377,30,Medium,30,0
Tax,32,4080,19,Critical,18,0
Property,1289,4680,2,High,102,0
Tax,883,1411,44,Critical,100,0
Property,1518,1598,12,Medium,26,0
Tax,257,3769,40,High,113,0
Family,2990,3645,44,Low,33,0
Corporate,1707,2523,24,Critical,36,0
Civil,528,3157,11,Critical,17,0
Property,2598,2929,2,High,53,0
Property,2779,2684,1,Medium,71,0
Civil,1915,419,28,Critical,38,0
Tax,2994,4402,4,High,92,0
Property,2045,3977,41,Medium,83,0
Family,1192,2253,30,Critical,33,0
Corporate,1329,1559,7,High,43,0
Civil,2368,256,22,Medium,69,0
Corporate,1106,4930,26,Critical,113,0
Property,744,947,29,Critical,40,0
Property,977,4529,25,Medium,119,0
Civil,2725,439,10,Medium,13,0
Family,2761,4144,20,High,114,0
Criminal,899,2415,14,Critical,118,0
Civil,1100,680,33,Critical,104,0
Criminal,123,2643,5,High,18,0
Tax,589,3970,45,Critical,99,0
Criminal,1805,469,6,Critical,86,0
Family,2290,399,22,Critical,99,0
Tax,465,1270,17,Low,63,0
Criminal,881,2479,15,Medium,10,0
Tax,2585,3018,39,Low,113,0
Criminal,2913,4471,40,Low,70,0
Family,2728,2321,28,Medium,82,0
Criminal,234,746,2,Low,40,0
Criminal,2458,1487,18,High,97,0
Criminal,1129,2748,27,Low,54,0
Civil,106,3172,21,High,69,0
Civil,845,3540,23,Medium,95,0
Civil,797,4925,7,Critical,82,0
Family,2487,3374,48,Medium,112,0
Tax,135,435,19,Medium,96,0
Property,2628,619,9,Low,93,0
Criminal,2903,3094,12,Medium,51,0
Criminal,2165,4194,46,Medium,94,0
Family,1776,1587,30,High,36,0
Criminal,2958,1114,7,Critical,67,0
Civil,1495,2963,2,Low,78,0
Property,2617,4173,17,Critical,90,0
Corporate,274,1467,11,Critical,107,0
Criminal,2655,1512,12,Critical,82,0
Civil,1435,2691,3,Low,43,0
Corporate,1011,1478,21,Medium,19,0
Property,2794,1228,14,Critical,117,0
Corporate,1766,4954,15,Low,75,0
Civil,171,2232,42,Medium,34,0
Tax,922,1374,41,Critical,12,0
Tax,1421,232,10,High,43,0
Corporate,2429,3914,36,Low,80,0
Family,574,4622,10,Critical,37,0
Corporate,2990,2983,17,Low,18,0
Criminal,2229,2868,44,High,20,0
Criminal,1499,3062,25,Low,102,0
Tax,2730,3054,27,Medium,89,0
Family,792,1752,33,Critical,48,0
Civil,653,3101,11,Low,102,0
Criminal,685,1290,13,Low,22,0
Tax,2527,4888,1,Critical,108,0
Property,2798,1549,31,High,20,0
Tax,1277,1101,33,High,44,0
Criminal,72,3551,21,Critical,17,0
Criminal,2341,1171,16,Critical,16,0
Tax,1056,1742,39,Medium,78,0
Civil,1690,736,23,Low,79,0
Corporate,1321,4219,10,Low,66,0
Criminal,625,2210,48,High,44,0
Tax,1042,224,33,Medium,103,0
Tax,2254,3849,22,Low,20,0
Family,2140,3129,41,Medium,47,0
Corporate,987,4114,6,Critical,100,0
Property,590,1352,47,Low,94,0
Civil,1360,2068,36,Critical,87,0
Property,1342,1869,47,High,58,0
Corporate,1851,4862,10,High,44,0
Corporate,1580,1257,16,Critical,38,0
Corporate,879,2038,13,High,97,0
Property,1308,537,20,Critical,109,0
Corporate,2681,1458,4,Critical,50,0
Tax,1563,4106,20,Critical,118,0
Property,1844,2072,22,High,105,0
Corporate,1771,4388,29,High,15,0
Tax,635,4537,16,High,19,0
Family,2907,2332,43,Critical,93,0
Corporate,1516,2279,47,Medium,93,0
Property,1324,3169,43,High,99,0
Criminal,775,801,23,Medium,94,0
Corporate,587,2733,30,High,118,0
Criminal,2141,1264,30,Low,32,0
Tax,971,2436,43,Low,55,0
Family,2326,995,3,Low,21,0
Civil,1299,3511,24,Medium,64,0
Family,969,3445,49,High,22,0
Corporate,1640,436,37,Critical,83,0
Criminal,2234,234,13,Medium,16,0
Criminal,2812,3998,42,High,110,0
Property,1755,1155,32,Low,21,0
Criminal,1014,3795,37,Medium,70,0
Property,1617,1602,12,High,34,0
Tax,1366,4543,8,Critical,11,0
Civil,1904,752,24,Medium,113,0
Corporate,691,2766,44,Critical,35,0
Property,62,2283,16,Medium,113,0
Civil,1846,4528,32,Low,60,0
Criminal,2635,3824,34,Low,78,0
Criminal,2150,2447,35,Low,71,0
Civil,1919,251,32,Critical,81,0
Criminal,2902,4950,17,Low,115,0
Tax,1186,4373,2,Critical,118,0
Tax,90,422,26,Critical,82,0
Civil,1573,4885,44,Critical,48,0
Property,301,84,17,Low,93,0
Property,2323,2257,38,High,20,0
Civil,1229,969,49,Critical,113,0
Property,2705,192,2,High,73,0
Property,1836,2695,8,Critical,95,0
Tax,2782,1270,46,Low,89,0
Property,2739,3068,6,Low,115,0
Family,1184,4025,9,Low,111,0
Corporate,1155,657,1,Medium,51,0
Criminal,339,968,5,Low,19,0
Family,1345,2280,39,High,98,0
Property,1775,1714,9,Critical,28,0
Tax,2572,4867,14,High,13,0
Civil,367,4777,27,Medium,92,0
Property,2656,162,9,High,12,0
Tax,39,4601,36,Critical,90,0
Corporate,78,1480,29,Critical,23,0
Property,1540,3907,20,Low,19,0
Civil,2700,312,15,Medium,15,0
Tax,1374,1663,36,Medium,40,0
Tax,760,2738,3,High,40,0
Tax,824,857,23,Low,57,0
Corporate,1678,1057,46,Low,18,0
Property,162,291,9,Low,85,0
Corporate,2160,1978,30,Critical,117,0
Criminal,2134,2389,19,Medium,119,0
Criminal,405,825,38,High,35,0
Property,2426,3194,3,High,11,0
Corporate,300,902,48,High,115,0
Civil,1536,851,3,Low,13,0
Tax,2188,3191,34,Medium,105,0
Tax,2946,2211,2,Medium,101,0
Property,2964,2060,27,Critical,15,0
Criminal,105,1614,23,Critical,39,0
Criminal,1986,1646,42,Critical,64,0
Tax,1696,3604,32,High,37,0
Property,358,293,47,High,70,0
Corporate,2199,609,35,Medium,86,0
Criminal,70,2720,40,Critical,64,0
Corporate,1220,602,18,High,119,0
Criminal,2999,3653,27,Critical,45,0
Criminal,2719,2010,11,Critical,83,0
Family,2356,1278,39,Medium,83,0
Criminal,2840,2886,19,Medium,14,0
Civil,2546,3758,25,High,38,0
Property,2086,591,7,Medium,109,0
Property,42,564,31,Critical,21,0
Corporate,953,4242,2,Medium,31,0
Criminal,1872,4848,38,Critical,68,0
Civil,1262,4532,5,Critical,119,0
Corporate,1244,657,14,High,48,0
Family,682,60,18,High,11,0
Corporate,1733,4902,36,High,23,0
Corporate,650,4412,4,Critical,19,0
Criminal,1992,1640,24,Medium,57,0
Family,1675,3692,13,High,73,0
Corporate,2273,4157,21,High,12,0
Civil,446,4148,33,Medium,81,0
Civil,693,1319,20,Medium,69,0
Property,1808,4731,5,High,90,0
Family,1409,179,24,Critical,77,0
Family,177,1972,35,Critical,30,0
Property,2075,1751,30,High,103,0
Corporate,1418,2466,28,Medium,28,0
Family,2441,3182,45,Critical,88,0
Civil,1755,1752,7,Medium,29,0
Civil,431,600,42,Low,67,0
Criminal,2683,239,35,Medium,51,0
Family,1545,4494,30,Medium,103,0
Corporate,2061,1769,34,Low,19,0
Property,258,1490,39,Critical,32,0
Property,1628,4348,9,Critical,97,0
Corporate,2614,1414,12,Critical,21,0
Tax,297,941,29,High,18,0
Criminal,1458,2793,10,Low,88,0
Property,1846,4482,27,Medium,38,0
Family,1064,4596,19,Low,91,0
Criminal,1373,3454,13,Low,29,0
Family,155,3602,42,Low,74,0
Civil,2383,1138,37,Low,12,0
Criminal,1755,1885,32,Low,17,0
Property,1142,4331,15,Low,48,0
Criminal,2705,744,21,High,73,0
Criminal,1405,731,3,Low,40,0
Criminal,718,1845,8,Low,81,0
Tax,1310,3946,6,Critical,88,0
Criminal,1262,410,29,Low,31,0
Family,310,1090,19,Low,105,0
Civil,472,4507,17,Critical,14,0
Corporate,1893,2785,10,Critical,117,0
Criminal,866,4500,33,Critical,117,0
Property,418,2448,13,Medium,67,0
Criminal,646,4514,27,Low,82,0
Property,176,2167,42,Low,114,0
Family,550,3592,12,Low,88,0
Property,659,4498,2,Critical,72,0
Corporate,2511,2774,10,High,70,0
Civil,2221,3283,21,Low,61,0
Property,318,3845,23,Critical,117,0
Property,1439,3436,1,Critical,110,0
Civil,43,2077,33,Critical,42,0
Corporate,286,2331,26,Medium,31,0
Criminal,1751,2899,15,Critical,60,0
Property,1453,3662,22,High,20,0
Civil,1260,2629,25,Medium,67,0
Family,887,1450,1,Critical,59,0
Civil,1225,1933,26,High,79,0
Family,493,777,21,High,26,0
Corporate,299,2154,41,Low,55,0
Criminal,1274,1932,24,Critical,53,0
Civil,2700,1759,39,Critical,66,0
Tax,1236,3237,16,Low,14,0
Property,101,4776,32,High,48,0
Corporate,1336,1154,16,Critical,67,0
Civil,2151,3732,13,Low,18,0
Property,2432,784,42,Low,102,0
Civil,1780,2745,32,High,32,0
Family,526,3388,41,High,56,0
Civil,1017,3517,44,Critical,45,0
Tax,2657,1692,24,Critical,40,0
Civil,939,3425,13,Medium,93,0
Civil,402,602,11,High,32,0
Tax,391,4786,15,Medium,65,0
Corporate,2170,4653,10,Medium,80,0
Civil,1374,1841,42,Low,55,0
Tax,353,1205,41,Low,67,0
Property,2461,4545,3,Critical,45,0
Family,604,1657,16,High,77,0
Family,765,2200,44,High,97,0
Civil,2814,208,17,Medium,69,0
Corporate,2423,1766,25,Medium,23,0
Corporate,1245,3846,30,Critical,34,0
Property,1725,2640,47,Low,80,0
Civil,1937,3965,35,High,88,0
Family,748,2346,37,High,53,0
Corporate,810,1204,13,High,55,0
Civil,1049,2813,24,High,22,0
Corporate,1433,2966,38,Low,71,0
Tax,1456,2520,26,Critical,28,0
Corporate,693,4966,9,Critical,21,0
Family,1802,189,19,Low,99,0
Criminal,2677,4945,28,Critical,57,0
Property,40,2765,7,Critical,42,0
Property,2264,1100,45,Medium,88,0
Family,2803,1283,22,Low,46,0
Corporate,1068,4884,30,Critical,15,0
Civil,2855,4473,37,Medium,98,0
Corporate,2488,2268,16,Low,90,0
Family,614,3928,36,Low,52,0
Property,1105,1345,5,High,109,0
Corporate,2654,3197,29,Medium,59,0
Property,1404,3893,23,Medium,55,0
Civil,1481,2168,6,Medium,82,0
Property,1884,1708,36,Low,37,0
Property,1819,3005,33,High,108,0
Criminal,772,2096,49,Low,76,0
Criminal,1806,1549,41,Critical,20,0
Tax,233,1481,16,Critical,29,0
Criminal,1106,1422,34,Critical,96,0
Property,1003,92,43,High,39,0
Family,1428,4369,26,Low,110,0
Property,1895,4054,37,Medium,45,0
Family,1329,4631,13,Critical,117,0
Family,1084,2816,17,Critical,85,0
Criminal,1188,4536,32,Low,109,0
Corporate,134,2513,32,Medium,108,0
Civil,282,4994,28,High,107,0
Criminal,324,4251,29,Critical,77,0
Criminal,2745,3596,25,Critical,97,0
Corporate,1211,52,47,Critical,45,0
Civil,578,2714,22,Medium,67,0
Property,2708,4393,27,Critical,37,0
Tax,1807,4865,44,Medium,48,0
Tax,328,3618,38,Critical,75,0
Property,1778,2412,20,Critical,52,0
Criminal,1873,4132,45,Medium,14,0
Civil,130,2891,24,Medium,101,0
Criminal,2409,2697,47,High,22,0
Family,2913,1421,47,Low,109,0
Criminal,1804,837,8,Critical,18,0
Criminal,2470,1680,14,Critical,112,0
Property,903,4582,39,Low,103,0
Property,2458,4743,14,Low,66,0
Property,121,2458,5,Low,36,0
Tax,476,3003,47,Critical,70,0
Family,138,1230,21,Critical,86,0
Property,346,619,15,Critical,115,0
Civil,1865,1866,36,Medium,112,0
Tax,1973,1875,33,High,59,0
Corporate,1488,1907,17,High,101,0
Civil,471,699,20,Low,91,0
Civil,2295,3272,1,Low,43,0
Property,1275,1855,16,Critical,94,0
Corporate,2750,4050,45,High,74,0
Corporate,1581,2197,18,High,54,0
Tax,307,168,10,Medium,96,0
Corporate,598,1515,23,Critical,43,0
Family,1039,4933,18,Critical,109,0
Property,2952,1764,49,High,82,0
Corporate,2543,1666,9,High,17,0
Tax,868,3015,46,Medium,103,0
Family,2831,1692,30,Medium,57,0
Criminal,1637,1959,13,Critical,45,0
Criminal,2915,677,31,Medium,109,0
Family,59,3687,46,High,91,0
Tax,2436,1073,43,Critical,75,0
Family,1972,4091,13,High,20,0
Property,2163,596,32,Critical,61,0
Property,1287,3115,17,Critical,45,0
Criminal,2824,3051,3,High,104,0
Corporate,2390,4838,1,Critical,40,0
Tax,394,4799,5,Critical,33,0
Criminal,1830,4857,32,Medium,119,0
Corporate,1852,2992,25,High,30,0
Corporate,1892,3968,45,High,105,0
Property,934,2065,5,Medium,39,0
Civil,727,3956,37,Critical,81,0
Civil,2208,2968,23,Low,106,0
Family,2880,1647,12,Low,73,0
Property,2866,1508,34,High,48,0
Corporate,1885,4165,23,Medium,10,0
Tax,380,4218,16,Critical,106,0
Civil,209,4483,49,Medium,51,0
Corporate,1533,955,5,Critical,86,0
Civil,1216,3583,44,High,95,0
Civil,1836,3649,47,High,14,0
Civil,803,1734,28,Low,21,0
Tax,539,1822,6,Medium,38,0
Property,394,1440,13,High,12,0
Tax,382,3611,43,Medium,70,0
Criminal,2877,3540,30,High,60,0
Corporate,1136,3331,26,Critical,45,0
Property,1278,2325,17,Critical,118,0
Property,441,2015,9,Low,84,0
Property,764,1987,16,High,99,0
Property,147,3734,49,Low,11,0
Tax,511,4055,18,Low,38,0
Property,221,4505,13,High,50,0
Family,2668,4888,29,High,38,0
Corporate,2667,3478,43,Critical,117,0
Property,2736,413,45,Low,109,0
Corporate,136,4798,24,Critical,73,0
Family,411,3750,45,Medium,67,0
Family,812,4385,44,Medium,92,0
Corporate,2467,4264,46,Low,19,0
Civil,273,4926,13,Low,20,0
Criminal,2662,47,25,High,16,0
Civil,2946,3511,41,High,86,0
Civil,497,4281,46,Low,114,0
Tax,895,1193,1,Low,117,0
Civil,1591,358,9,Medium,70,0
Property,1263,1088,4,Critical,75,0
Tax,633,861,28,Medium,103,0
Tax,1690,4304,12,Medium,95,0
Family,1126,4766,24,Critical,62,0
Civil,2045,313,46,Low,74,0
Family,1688,1877,9,Low,36,0
Corporate,1763,1342,35,Medium,16,0
Criminal,1643,1667,38,Medium,74,0
Tax,889,4918,35,Critical,67,0
Corporate,1909,3640,33,High,34,0
Corporate,1306,4546,35,High,57,0
Property,42,3114,46,Low,13,0
Criminal,2376,3511,20,High,103,0
Corporate,1129,3515,2,Low,17,0
Corporate,1104,4602,44,Low,94,0
Criminal,816,3821,26,Low,77,0
Criminal,178,108,42,Critical,69,0
